[06 oct. 9:48:35] Created new character L2PcInstance:THUNDERBOLT[268480697] [Account: admin - IP: 127.0.0.1].
[21 mar. 16:00:42] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:01:19] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:06:11] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:06:32] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:15:57] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:16:14] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:17:50] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:39:44] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:40:03] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:43:16] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:43:31] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:45:19] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:54:19] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 16:55:01] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 17:37:01] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 17:37:16] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 17:40:39] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 17:42:57] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:21:42] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:21:56] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:24:56] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:50:54] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:51:03] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 18:53:28] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:05:56] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:32:38] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:36:23] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:36:42] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:36:55] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:49:49] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:55:55] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:56:19] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:58:19] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 19:58:30] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 20:04:55] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 20:05:15] Logged in, GOD(268480685) makusanagi 127.0.0.1
[21 mar. 20:09:06] Disconnected, GOD(268480685) makusanagi 127.0.0.1
[22 mar. 18:38:08] Logged in, GOD(268480685) makusanagi 127.0.0.1
